,precision,recall,f1-score,support
high,0.46,0.2948717948717949,0.359375,78.0
low,0.36,0.3829787234042553,0.3711340206185567,47.0
medium,0.5447761194029851,0.5887096774193549,0.5658914728682171,124.0
none,0.8540145985401459,0.9590163934426229,0.9034749034749034,122.0
accuracy,0.6226415094339622,0.6226415094339622,0.6226415094339622,0.6226415094339622
macro avg,0.5546976794857827,0.556394147284507,0.5499688492404193,371.0
weighted avg,0.6052345547920969,0.6226415094339622,0.6088114011554429,371.0
